Departure station (id);Departure station;Arrival station (id);Arrival station;Length
400;FLAWINNE;406;FLOREFFE;3.70280637475485
318;DENDERLEEUW;1228;WELLE;1.9766592737523598
1085;LIERDE;1274;ZOTTEGEM;6.51671151668658
110;BAMBRUGGE;235;BURST;1.3335925030828
578;HOLLEKEN;742;LINKEBEEK;1.28115577821496
442;GENDRON-CELL;34;ANSEREMME;7.05202716100634
1093;SOLRE-SAMBRE;371;ERQUEL-VILL;2.04868879110638
383;EVERE;191;BORDET;1.2264929316283102
319;DENDERMONDE;1265;ZELE;8.25105720206281
1168;UCCLE-STALLE;414;FOREST-EST;0.913443737535838
1350;ZONHOVEN;1061;SCHULEN;15.9180619016336
195;BOUSSU;1034;ST-GHISLAIN;1.8632705988232001
908;NIMY;920;OBOURG;3.7061675368328704
415;FOREST-MIDI;220;BRUXELL-MIDI;3.42079482176169
976;PRY;1207;WALCOURT;1.36798638191595
167;BLANMONT;855;MONT-ST-GUIB;2.71667347110058
418;FORRIERES;617;ROCH-JEMELLE;3.23090342249126
363;EPPEGEM;1224;WEERDE;2.317992142068
22;AMAY;24;AMPSIN;2.4146869537835802
1058;SCHELLEBELLE;1253;WICHELEN;3.7556049826404503
592;HUY;24;AMPSIN;4.27848800719017
272;CINEY;704;LEIGNON;3.11462254438189
199;BOUWEL;1232;WOLFSTEE;2.9683843944033
991;REMICOURT;842;MOMALLE;3.40539191695837
1231;ZOLDER;1350;ZONHOVEN;6.09047333648202
436;GEEL;840;MOL;9.09240953433115
183;BOITSFORT;1219;WATERMAEL;1.80481717228469
287;COURRIERE;75;ASSESSE;2.90683407644085
472;GODINNE;767;LUSTIN;2.98028620030779
1147;TILFF;27;ANGLEUR;6.773363041472391
1017;RUISBR-SAUV;977;PUURS;3.1703711852937397
715;LEUVEN;553;HERENT;4.791191590417959
546;HEMIKSEM;1066;SCHELLE;1.23008126484986
136;BELLEM;518;HANSBEKE;3.72263966424408
938;OUDEGEM;319;DENDERMONDE;2.88198721034914
345;EDE;235;BURST;4.76032997522386
767;LUSTIN;611;JAMBES;10.3122831024572
105;BALEGEM-DORP;1056;SCHELDEWIND;2.2371026977688198
563;HERZELE;568;HILLEGEM;1.6725142134553301
1135;THEUX;629;JUSLENVILLE;0.983034769606415
1223;WAVRE;153;BIERGES-WAL;1.17802786930241
1768;SIMONIS;1979;TOUR-TAXIS;0.778884242355081
351;EKE-NAZARETH;434;GAVERE-ASPER;3.54602621727027
375;ESNEUX;974;POULSEUR;3.6197387493268303
975;PROFONDSART;936;OTTIGNIES;2.87523894227314
8;AALTER;797;MARIA-AALTER;4.6223638930631
895;NAMUR;1009;RONET;3.29885184654795
252;CEROUX-MOUST;936;OTTIGNIES;1.49874937517703
1177;VERVIERS-C;956;PEPINSTER;3.95175393295989
535;HAVRE;1136;THIEU;2.93629414907999
1009;RONET;895;NAMUR;3.29885184654795
1192;VILVOORDE;1048;SCHAERBEEK;7.017952647271141
590;HOVE;877;LIERSESTWG;1.89757846538772
188;BOOM;905;NIEL;3.2005070275593397
901;NESSONVAUX;956;PEPINSTER;5.329885825221201
261;CHASTRE;366;ERNAGE;2.07162275597765
1235;WEVELGEM;820;MENEN;5.26623802006681
719;LEUZE;77;ATH;11.9913771722272
523;HASSELT;19;ALKEN;6.49428614587748
1128;TEMSE;192;BORNEM;3.6080933722683697
24;AMPSIN;22;AMAY;2.4146869537835802
629;JUSLENVILLE;957;PEPINST-CITE;2.66680306405604
728;LIEGE-CARRE;730;LIEGE-ST-LAM;1.12211406370089
504;HALLE;706;LEMBEEK;2.37905195040345
979;QUAREGNON;615;JEMAPPES;2.13666268969413
77;ATH;989;REBAIX;4.84941228367382
405;FLOREE;897;NATOYE;1.61504173907981
600;IDDERGEM;923;OKEGEM;2.4171668333134697
70;ARLON;1198;VIVILLE;2.0639221932701997
337;DUINBERGEN;642;KNOKKE;1.5643771584608301
1207;WALCOURT;976;PRY;1.36798638191595
848;MONS;908;NIMY;2.23928850951676
114;BARVAUX;185;BOMAL;3.35742084187726
957;PEPINST-CITE;956;PEPINSTER;0.853194387849495
489;GRUPONT;418;FORRIERES;5.65674918607321
814;MELKOUWEN;142;BERLAAR;3.0955368788505297
258;CHARL-OUEST;747;LODELINSART;3.06253802443037
1274;ZOTTEGEM;1085;LIERDE;6.51671151668658
1073;SINAAI;138;BELSELE;1.63925546433243
19;ALKEN;1090;SINT-TRUIDEN;11.2556227761405
1063;SCLESSIN;726;LIEGE-GUILL;2.8097577882607
221;BRUXELLES-ND;216;BRUX-CONGRES;0.943358352388166
848;MONS;462;GHLIN;5.68743336573186
636;KIEWIT;184;BOKRIJK;4.14080312611445
462;GHLIN;364;ERBISOEUL;3.03184537688916
752;NEUFCHATEAU;723;LIBRAMONT;9.34092778399956
781;MALDEREN;231;BUGGENHOUT;2.1622608464621
611;JAMBES;767;LUSTIN;10.3122831024572
1141;THULIN;501;HAININ;1.5672014099493998
110;BAMBRUGGE;367;ERPE-MERE;2.56116170417345
686;LANGDORP;1134;TESTELT;5.88359350482339
954;PECROT;410;FLORIVAL;2.09092858346933
414;FOREST-EST;1168;UCCLE-STALLE;0.913443737535838
252;CEROUX-MOUST;289;COURT-ST-ET;1.57165718651297
643;KOKSIJDE;1181;VEURNE;1.21842429949905
413;FORCHIES;962;PIETON;2.6674050890643897
169;BLATON;519;HARCHIES;3.5726006816179403
962;PIETON;413;FORCHIES;2.6674050890643897
384;EZEMAAL;1146;TIENEN;6.3079732907403905
1842;MESSANCY;78;ATHUS;3.73046868884355
821;MERCHTEM;933;OPWIJK;3.49900637920167
1278;ZWIJNDRECHT;64;ANTW-ZUID;5.64438228154816
938;OUDEGEM;1060;SCHOONAARDE;3.8163107819225
493;HAACHT;1230;WESPEL-TILD;1.9312125727601799
337;DUINBERGEN;540;HEIST;1.63144968763091
968;POIX-ST-HUB;489;GRUPONT;10.3528538953018
120;BASSE-WAVRE;433;GASTUCHE;2.45111612431456
504;HALLE;232;BUIZINGEN;2.45016354764297
184;BOKRIJK;636;KIEWIT;4.14080312611445
710;LESSINES;583;HOURAING;1.12282754151906
895;NAMUR;995;RHISNES;5.95509263549377
1031;ST-D-BOVESSE;995;RHISNES;3.43607233760005
826;MERODE;1761;DELTA;2.3689521624153898
458;G'BERGEN;1059;SCHENDELBEKE;3.78825075214971
585;HOURPES;683;LANDELIES;3.60648077415765
1067;SERAING;2011;OUGREE;1.6812477866121802
1087;ST-M-BODEGEM;1131;TERNAT;2.92546046428619
2011;OUGREE;1067;SERAING;1.6812477866121802
223;BRUX-OUEST;1768;SIMONIS;1.76223482754087
325;DIEGEM;1260;ZAVENTEM;2.04855390115139
899;NEERPELT;1368;HAMONT;8.684387215063952
707;LENS;628;JURBISE;3.45550373911328
1034;ST-GHISLAIN;1187;V-POMMEROEUL;7.84646394155818
649;KORTRIJK;520;HARELBEKE;5.04642023556063
821;MERCHTEM;841;MOLLEM;2.45542483750497
336;DUFFEL;644;KONTICH-LINT;4.82110815201205
104;AALST-KERREB;1186;VIJFHUIZEN;3.07170162553244
810;MECHELEN;1224;WEERDE;4.736951278110561
961;PHILIPPEVILL;798;MARIEMBOURG;13.2194557277946
732;LIER;177;BOECHOUT;5.86154367791134
832;MEVERG-ATTRE;782;MAFFLE;2.7972644463620298
1084;ST-MARIABURG;352;EKEREN;1.74372573601558
692;LA ROCHE;395;FAUX;1.46279708493928
360;ENGHIEN;559;HERNE;3.85929022620632
705;LEMAN;402;FLEMALLE-HTE;0.818782784193107
910;NINOVE;923;OKEGEM;2.96200137227107
664;LABUISSIERE;1093;SOLRE-SAMBRE;2.04945137397069
815;MELLE;2089;ANDERLECHT;40.9181333091406
1056;SCHELDEWIND;860;MOORTSELE;1.7538708681514
837;MOENSBERG;128;BEERSEL;2.35567068504075
855;MONT-ST-GUIB;167;BLANMONT;2.71667347110058
128;BEERSEL;837;MOENSBERG;2.35567068504075
991;REMICOURT;171;BLERET;2.60685874144961
818;MELR-HOTTON;788;MARCHE-FAM;9.75392973469474
1068;SERSKAMP;701;LEDE;2.34405051921528
788;MARCHE-FAM;818;MELR-HOTTON;9.75392973469474
167;BLANMONT;261;CHASTRE;1.6344184116429201
819;MELSELE;151;BEVEREN(W);1.95633230834169
82;AUVELAIS;1125;TAMINES;2.56947052827892
954;PECROT;1082;ST-JOR-WEERT;2.49620838192776
976;PRY;147;BERZEE;2.60549807265321
855;MONT-ST-GUIB;936;OTTIGNIES;4.95940282148638
1177;VERVIERS-C;1180;VERVIERS-PAL;0.864574182428276
936;OTTIGNIES;855;MONT-ST-GUIB;4.95940282148638
997;RIXENSART;975;PROFONDSART;2.56976699140769
936;OTTIGNIES;762;LOUVAIN-LA-N;6.35155414175685
997;RIXENSART;457;GENVAL;1.8764698244967601
1180;VERVIERS-PAL;331;DOLHAIN-GIL;7.384996741158919
507;HAMBOS;1230;WESPEL-TILD;2.38385647649375
331;DOLHAIN-GIL;1180;VERVIERS-PAL;7.384996741158919
1083;ST-KAT-WAVER;336;DUFFEL;2.33836179671462
1062;SCLAIGNEAUX;262;CHAT-DE-SEIL;4.14384700438492
212;BRUGGE-ST-P;210;BRUGGE;3.12230384618844
1744;LA LOUV-SUD;673;LA LOUV-CTRE;2.71109875458321
1226;WELKENRAEDT;382;EUPEN;5.92286698048543
673;LA LOUV-CTRE;1744;LA LOUV-SUD;2.71109875458321
345;EDE;494;HAALTERT;2.46808674210651
939;OUDENAARDE;1013;RENAIX;13.576942428686099
367;ERPE-MERE;1186;VIJFHUIZEN;2.20819375005045
1842;MESSANCY;70;ARLON;11.3521494924974
1134;TESTELT;686;LANGDORP;5.88359350482339
70;ARLON;1842;MESSANCY;11.3521494924974
